391.82,610.94,22.55,27.72,13.5,14.31
392.59,607.22,22.53,27.33,13.59,14.24
403.41,622.52,22.9,28.08,13.94,14.72
398.5,618.98,23.03,27.91,13.69,14.7
393.3,618.23,23.13,27.53,13.98,14.83
387.29,606.99,22.81,27.1,13.59,14.84
386.9,595.35,22.99,27.06,13.48,14.67
376.85,602.55,23.06,27.54,14.59,14.61
373.8,594.94,22.28,26.59,14.42,14.43
364.92,597.62,22.37,26.78,14.69,14.39
357.77,528.94,22.27,26.47,14.63,14.29
358.02,538.26,22.48,26.63,14.91,14.37
353.75,534.01,22.45,26.54,14.86,14.39
354,527.28,22.85,26.63,15.05,14.49
359.71,531.99,23.09,26.92,15.61,14.72
357.2,546.6,23.23,26.77,15.81,14.8
351.76,535.36,22.75,26.33,15.72,14.52
349.43,532.44,22.44,26.03,15.49,14.53
343.26,521.03,22.53,26.02,15.45,14.54
335.67,506.38,22.16,26,15.04,14.38
334.04,497.57,21.39,25.62,14.89,14.24
335.26,493.65,21.49,25.8,14.95,14.12
332.04,482.8,21.34,25.2,14.88,13.96
326.35,474.88,21.2,24.3,14.89,13.78
331.23,480.22,21.71,24.63,15.08,13.88
322.61,487.01,21.4,24.65,15.23,13.87
325.3,493,21.65,24.76,15.35,13.92
315.32,484.58,21.33,24.47,14.99,13.69
320.26,485.02,21.19,24.26,14.7,13.63
325.16,500.37,21.42,24,14.78,13.62
326.75,502.95,21.42,23.74,14.81,13.8
332.44,508.37,21.82,24.22,15.2,14.15
326.6,504.73,21.39,24.04,15.16,13.99
325.9,509.51,21.38,23.71,15.2,14.17
331.49,516.73,21.76,23.96,15.22,14.4
332.24,519.17,21.82,23.94,15.1,14.31
332.04,519.03,22.06,24.06,15.45,14.49
338.04,521.06,21.83,24.01,15.45,14.42
343.44,523.08,21.73,23.91,15.68,14.59
346.1,528.06,22.09,24.22,16.02,14.7
345.51,525.6,22,24.43,15.85,14.73
347.83,529.02,22.51,25.01,16.55,14.85
337.41,520.9,22.21,24.76,16.02,14.72
335,518.13,22.5,24.67,15.98,14.77
336.78,519.67,22.68,24.19,16.15,14.65
332.19,518.26,22.61,24.15,16.14,14.72
334.4,518.39,22.86,24.17,16.06,14.68
335.22,524.03,23.22,24.49,16.3,14.75
340.53,531.25,23.54,24.72,16.35,14.76
339.87,529.81,23.88,24.69,15.96,14.73
336.14,530.46,23.55,24.52,16,14.54
333.3,518.42,23.64,24.57,15.81,14.58
340.5,529.55,23.41,25.03,16.55,14.73
346.57,535.05,23.71,25.32,17.17,14.88
347.23,535.45,23.41,25.36,17.2,14.86
349.45,542.66,23.03,25.67,18.55,15.04
347.6,537.68,22.76,25.83,18.56,14.83
346.66,535.3,23.25,25.87,18.65,14.73
346.75,534.27,23.61,25.79,18.43,14.64
349.57,535.79,23.5,26.06,18.2,14.91
348.2,533.89,23.23,25.81,17.92,14.88
346.28,538.56,22.91,25.66,18.14,15.01
350.13,544.1,23.15,25.92,17.7,15.05
346.75,537.97,22.8,26.71,17.51,14.91
350.15,537.76,22.63,26.38,17.26,14.94
350.42,532.82,22.48,26.19,17.28,14.9
353.01,525.05,21.94,25.61,17.11,14.93
350.7,525.1,21.46,25.52,16.85,14.94
342.41,525.73,21.41,25.76,16.87,14.78
337.86,521.53,19.86,25.15,16.12,14.58
331.85,526.84,19.62,25.08,16.35,14.5
327.46,530.7,19.75,25.37,16.62,14.51
332.42,578.51,19.58,25.42,16.69,14.5
336.13,576.28,19.78,25.63,16.64,14.59
332.4,570.61,19.76,25.64,16.36,14.6
330.8,577.37,20.12,25.98,16.59,14.73
335.06,578.16,20.02,26.07,16.77,14.75
338.08,580,20.03,26.2,17,14.78
338.04,574.18,19.95,26.15,17.05,14.7
338.89,569.09,19.71,25.78,17.11,14.76
341.19,587.68,19.49,25.55,16.87,14.82
344.56,591.8,19.72,25.48,16.84,14.82
348.51,586.76,20.18,25.39,16.68,14.65
348.63,581.84,20.46,25.61,16.74,14.69
350.96,581.73,20.28,25.49,16.75,14.47
350.44,575.36,20.34,25.41,16.58,14.36
351.54,579.74,20.37,25.62,16.96,14.35
344.97,586.89,20.38,25.81,16.83,14.34
339.19,582.16,20.29,25.54,16.13,14.3
341.2,577.32,20.15,25.3,16.36,14.27
339.3,576.5,20.19,25.33,16.29,14.32
330.67,561.06,19.93,24.8,16.03,14.13
334.64,561.36,19.9,24.78,15.86,14.09
330.01,557.1,19.81,24.79,15.91,14.12
345.43,569.56,20.18,25.39,16.33,14.46
353.56,569.99,20.84,25.69,17.31,14.61
351.99,576.71,20.87,25.68,17.42,14.7
346.67,580.3,20.79,25.41,17.06,14.82
352.47,591.77,21.2,25.89,17.65,14.94
355.76,592.31,21.13,25.91,16.94,14.97
